Ocean,FI_H,1STCK
Form,T_BLET,2EAIO
Write,PA_ER,4TYRP
Put,_AG,1BGTP
Comfort,CO_CH,3AIUO
Date,CA_ENDAR,2PLTS
Contact,P_ONE,3FTHS
Bee,_ONEY,2PHLR
Open,_OOR,4LWCD
Fly,_AT,1BFCM
Far,_ARD,3GMYW
Sick,DO_TOR,3DGCM
Climb,_ADDER,4PGRL
Level,E_EVATOR,2PLVS
Write,_OTE,1NPDR
Animal,DUC_,4PTEK
Identity,_LAG,3PBFS
Power Source,BA_TERY,2CTPG
Drive,_OAD,3TPRL
High,SK_,2IYEA
Exit,_UIT,4KCNQ
Cut,K_IFE,2WNMR
None,_ERO,3NHZP
Animals,_OO,2PZDR
Hi,_ELLO,1HJPD
Hide,CU_TAIN,4LDTR
Adore,_UTE,2MCDP
Lay,FL_OR,2POLU
Mad,A_GRY,3IUNP
ON/OFF,S_ITCH,2TWPR
Honey,_EE,1BZDS
5 Sides,PEN_AGON,3CHTN
Connecting,_ABLE,4KBHC
Sport,TE_NIS,3MCNS
Time,_ATCH,2MWHL
Hard,DI_MOND,4EOIA
Two wheeler,_ICYCLE,1BTLK
See far,_INOCULARS,3NGBR
Still shot,_AMERA,4TRKC
Uncle's wife,AUNTI_,3YIEA
Female child,_AUGHTER,1DLSB
Sport,_OOTBALL,2MFPG
Portable,_ELLPHONE,3LPCR
It's mine,_WNER,3IAOE
Type,KEYBO_RD,2OAIE
Listen,_ADIO,1RLGF
Happened,_AST,1PRSL
Drive nails,_AMMER,3KLHP
On the head,_AT,4BCPH
Elastic,R_BBER,2OUAI
Internet,MO_EM,2FDRV
Game,JO_STICK,2BYTR
Display,MONITO_,1RTFG
Red,AP_LE,1PLEN
Sheep,_UTTON,4BCNM
Eye,RE_INA,4YRFT
Letter,EN_ELOPE,1VBTR
Close,_ATE,1GHRD
On head,H_RN,2IOAE
Fuel,_ETROL,1PMTG
Climb,STAI_S,2SRDW
Rubber,TY_E,3GTRY
Smell,N_SE,1OAEI
360,RO_ATE,3VYTW
2nd Place,SIL_ER,4WRTV
Green,G_ASS,4PWTR
Reflection,_IRROR,3PLMT
Tight,RO_E,3TDPB
Think,B_AIN,1RTYL
Bigger,G_OW,1RLGM
Salty,SE_,2EAIO
Air flow,_AN,3TRFG
Cooking,OI_,3RPLC
Can't see,_LIND,2RBLP
Going up,BALLOO_,4MLPN
High building,TO_ER,2TWPL
Put flower,_ASE,1VFGT
Train,RAI_S,3RSLW
Recognition,A_ARD,3LPWT
Words of song,L_RIC,2IYOA
